subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
1,-0.354724,0.206706,-0.257809,0.278429,-0.591813,-0.52603,0,jogging
2,0.060844,-0.038574,-0.243627,0.2189289999999999,-0.72083,-0.711083,0,jogging
3,0.261253,-0.0876909999999999,-0.311021,0.316419,-0.745103,-0.586457,0,jogging
4,0.293848,-0.024375,-0.241304,0.587287,-1.061052,-0.39829,0,jogging
5,0.302821,0.111783,0.009486,0.643359,-1.096573,-0.089136,0,jogging
6,0.2620719999999999,0.230757,0.187747,0.174311,-0.882292,0.276917,0,jogging
7,0.218558,0.26158,0.196511,-0.523134,-0.710903,0.378648,0,jogging
8,0.124975,0.1244589999999999,0.035563,-1.014358,-0.4996359999999999,0.451859,0,jogging
9,0.002917,0.001367,-0.088026,-1.025293,-0.362014,0.411014,0,jogging
10,-0.09426,-0.014512,-0.167865,-0.6461779999999999,-0.4266609999999999,0.265262,0,jogging
11,-0.338068,-0.014903,-0.2497059999999999,-0.110815,-0.744891,-0.004055,0,jogging
12,-0.234395,-0.094988,-0.148198,0.2461809999999999,-0.8886719999999999,-0.0547879999999999,0,jogging
13,-0.139309,-0.152076,-0.075012,0.106511,-0.8986059999999999,0.152552,0,jogging
14,0.094191,-0.290704,0.137241,-0.2242849999999999,-1.011991,0.289255,0,jogging
15,0.181672,-0.3758579999999999,0.205219,-0.371996,-1.06814,0.33957,0,jogging
16,0.226419,-0.462767,0.202453,-0.305712,-1.058699,0.318657,0,jogging
17,0.205499,-0.466262,0.155977,-0.105974,-1.058126,0.268777,0,jogging
18,0.1458829999999999,-0.379798,0.10505,0.1438829999999999,-1.005761,0.276864,0,jogging
19,0.0766039999999999,-0.2289449999999999,0.110957,0.298326,-0.8549110000000001,0.2478389999999999,0,jogging
20,-0.002118,-0.043737,0.148017,0.185159,-0.6732640000000001,0.20836,0,jogging
21,-0.055679,0.049135,0.162779,-0.081871,-0.586778,0.1241309999999999,0,jogging
22,-0.079718,0.082821,0.131592,-0.206756,-0.5885199999999999,0.135011,0,jogging
23,-0.1912039999999999,0.066579,0.083651,-0.138668,-0.691846,0.0747309999999999,0,jogging
24,-0.341815,0.038263,0.05708,-0.032819,-0.640021,0.076472,0,jogging
25,-0.372131,0.0676929999999999,0.092806,0.055172,-0.48603,0.11855,0,jogging
26,-0.401734,-0.071931,0.203611,0.264704,-0.319804,0.192439,0,jogging
27,-0.337721,-0.187883,0.231928,0.537144,-0.005399,0.185394,0,jogging
28,-0.290844,-0.096675,0.226692,0.704734,0.386561,0.321726,0,jogging
29,-0.116094,0.353009,0.178229,0.431512,0.892241,0.3736489999999999,0,jogging
30,-0.139235,0.7256279999999999,0.248109,0.063526,0.983785,0.443601,0,jogging
31,0.069925,0.564496,0.010006,0.245403,1.010239,0.596525,0,jogging
32,0.508843,0.001027,-0.290219,0.761258,1.269944,0.737596,0,jogging
33,0.580879,-0.1778269999999999,-0.18982,0.48925,0.94319,0.635702,0,jogging
34,0.494226,-0.2702219999999999,-0.07618,-0.270061,0.14728,9.8e-05,0,jogging
35,0.263828,-0.406246,0.265471,-0.6332810000000001,-0.391826,-0.198301,0,jogging
36,0.141015,-0.328449,0.233344,-0.595639,-0.521131,-0.395493,0,jogging
37,-0.106781,-0.2520199999999999,0.114823,-0.57211,-0.4564399999999999,-0.343069,0,jogging
38,-0.365125,-0.108267,0.064812,-0.403788,-0.3690719999999999,0.03935,0,jogging
39,-0.2343719999999999,0.210276,-0.08307,0.09816,0.289584,0.59001,0,jogging
40,-0.171143,0.290614,-0.1297039999999999,0.689304,1.253857,0.826844,0,jogging
41,-0.141872,0.373208,-0.135239,0.826915,1.048589,0.625106,0,jogging
42,-0.4228699999999999,0.6751689999999999,0.2499019999999999,0.610707,-0.078801,0.3622579999999999,0,jogging
43,-0.514807,0.721362,0.408671,0.49008,-0.654568,-0.201868,0,jogging
44,-0.533241,0.810477,0.525323,0.7956880000000001,-0.418083,-1.262917,0,jogging
45,-0.533008,0.107997,0.361614,1.296201,0.002258,-1.585767,0,jogging
46,-0.404015,0.005998,0.30059,1.836944,0.4603779999999999,-1.8004939999999998,0,jogging
47,-0.295032,-0.072708,0.215994,1.7464240000000002,0.478876,-1.81931,0,jogging
48,-0.000223,-0.36507,-0.023368,1.553845,0.11865,-1.345903,0,jogging
49,0.076672,-0.274437,0.01841,1.366024,-0.113617,-0.375904,0,jogging
50,0.137267,-0.14349,0.042555,0.803268,-0.007809,0.5568609999999999,0,jogging
51,0.413862,-0.273753,-0.038029,-0.205665,0.0067209999999999,0.7281880000000001,0,jogging
52,0.529889,-0.593713,0.0435339999999999,-1.238196,-0.017086,0.6505029999999999,0,jogging
53,0.563381,-0.908214,0.102198,-1.589424,-0.013099,0.225029,0,jogging
54,0.4711869999999999,-0.852484,-0.266948,-1.164081,0.464145,-0.4092719999999999,0,jogging
55,0.402776,-0.603102,-0.280481,-0.674589,0.273726,0.164822,0,jogging
56,-0.010236,-0.4364449999999999,-0.1236329999999999,-0.368204,-0.449169,0.590904,0,jogging
57,0.10736,0.046525,-0.292883,0.381482,-0.757533,0.598672,0,jogging
58,-0.1676,0.941595,0.329464,0.5199600000000001,-1.514812,-0.352244,0,jogging
59,-0.79214,1.997547,0.3754159999999999,-0.6127130000000001,-1.932826,-0.859553,0,jogging
60,-0.808175,2.595954,-0.228257,-1.378551,0.438677,0.285738,0,jogging
61,-0.179627,1.189385,-0.0695,-1.728895,0.902131,0.840309,0,jogging
62,-0.291124,0.14454,0.234449,-2.078559,-0.17428,-0.066606,0,jogging
63,-0.515682,0.022522,0.4545359999999999,-1.955834,-0.422842,-0.084659,0,jogging
64,-0.5358689999999999,0.048544,0.444322,-0.941478,0.347722,0.275021,0,jogging
65,-0.317422,-0.307186,0.390721,0.213468,1.120768,0.691227,0,jogging
66,0.136632,-0.61407,0.136183,0.199117,1.675184,1.117705,0,jogging
67,0.271846,-0.7066319999999999,0.053706,-0.054,1.762938,1.502521,0,jogging
68,0.55286,-0.7647520000000001,-0.111814,0.01227,1.3331110000000002,1.043131,0,jogging
69,0.491275,-0.897503,-0.064672,0.186223,1.048094,0.5073949999999999,0,jogging
70,0.2825789999999999,-1.034881,-0.0133789999999999,-0.054519,0.52385,-0.582133,0,jogging
71,0.063382,-1.229604,0.0492279999999999,-0.390258,-1.23658,-1.473119,0,jogging
72,0.299203,-0.948141,-0.0900919999999999,-0.7209300000000001,-2.235574,-1.777524,0,jogging
73,0.654798,-0.768099,-0.527067,-0.228902,-0.714164,-1.720489,0,jogging
74,0.691398,-0.046508,-0.336858,0.169764,0.334314,-1.063159,0,jogging
