subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
1,0.685651,0.8718319999999999,-1.168301,-1.53651,0.273848,0.844706,0,upstairs
2,-1.131503,1.10752,1.231345,-0.190452,-0.202447,-0.025496,0,upstairs
3,-1.6763849999999998,1.2777690000000002,0.884553,1.269084,-0.105114,-1.121036,0,upstairs
4,-1.733861,0.135375,0.245439,1.284362,-2.755955,-0.759678,0,upstairs
5,-1.246619,-1.308925,-0.021821,0.796201,-0.463458,0.7209399999999999,0,upstairs
6,-1.202616,-1.3281459999999998,0.074746,-1.05548,-0.51763,1.752796,0,upstairs
7,-0.976703,-0.980133,0.917627,-2.518943,2.641953,2.227771,0,upstairs
8,-0.8560110000000001,0.738219,0.889176,-2.860137,7.111669999999999,0.705989,0,upstairs
9,-0.683369,0.796833,0.561479,-2.9654990000000003,9.026886,-3.155619,0,upstairs
10,-0.532199,0.75765,0.350003,-2.438353,5.787321,-3.330451,0,upstairs
11,0.295719,0.717449,0.697819,-2.2421450000000003,-0.354423,0.065053,0,upstairs
12,0.5021180000000001,0.421228,0.4442819999999999,-2.353564,-2.056597,0.127345,0,upstairs
13,0.545942,-0.259026,0.017601,-1.285556,-0.894026,-0.619781,0,upstairs
14,0.457182,-0.338117,-0.317585,-0.687403,3.961108,0.290437,0,upstairs
15,0.1852339999999999,-0.140574,-0.349064,-1.2225469999999998,4.095244,1.04176,0,upstairs
16,-0.101917,0.009292,-0.170711,-1.196312,1.710609,0.890107,0,upstairs
17,-0.167117,0.2641219999999999,-0.02995,-1.00793,1.201435,0.720091,0,upstairs
18,-0.2292679999999999,0.294594,-0.01436,-0.628663,1.955582,0.408785,0,upstairs
19,-0.224009,0.122398,-0.169606,-0.47155,3.059246,0.26319,0,upstairs
20,-0.017659,0.062223,-0.372004,-0.704666,3.73405,0.344018,0,upstairs
21,0.134738,0.0610669999999999,-0.498293,-0.730801,3.0600400000000003,0.023165,0,upstairs
