subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
1,-0.047382,-0.029921,0.0302209999999999,0.030835,-0.072351,0.012383,0,standing
2,-0.057319,-0.029862,0.026082,-0.009547,-0.069946,-0.0210169999999999,0,standing
3,-0.055958,-0.029403,0.027267,-0.051011,-0.063307,-0.0469529999999999,0,standing
4,-0.053844,-0.030649,0.0288079999999999,-0.09037,-0.0535179999999999,-0.063264,0,standing
5,-0.0447199999999999,0.002632,0.031086,-0.136139,-0.040532,-0.074282,0,standing
6,-0.038084,0.009041,0.025356,-0.1637829999999999,-0.018004,-0.0735059999999999,0,standing
7,-0.01734,0.0221889999999999,0.010102,-0.1573099999999999,0.0053799999999999,-0.066013,0,standing
8,-0.015259,0.0259329999999999,0.006303,-0.116769,0.021153,-0.049727,0,standing
9,-0.005539,0.02826,0.000118,-0.063426,0.042187,-0.028017,0,standing
10,-0.002529,0.041231,-0.003018,-0.020704,0.0696659999999999,-0.010662,0,standing
11,0.008738,0.03835,0.002014,0.020971,0.091862,-0.0029219999999999,0,standing
12,0.0189419999999999,0.025686,0.002579,0.064674,0.094858,0.00913,0,standing
13,0.0149319999999999,0.019772,0.005817,0.092331,0.090444,0.023216,0,standing
14,0.00671,0.006745,0.01052,0.092269,0.088267,0.034969,0,standing
15,0.0057469999999999,0.003912,0.014631,0.077304,0.087232,0.040207,0,standing
16,0.008565,0.002714,0.012038,0.0613149999999999,0.08624,0.035823,0,standing
17,0.011393,-0.003616,0.009322,0.047456,0.082053,0.029323,0,standing
18,0.006253,-0.001942,0.010171,0.042098,0.07144,0.023958,0,standing
19,0.001251,0.005863,0.015016,0.034591,0.060822,0.021782,0,standing
20,0.000248,0.00855,0.016318,0.028252,0.065144,0.012119,0,standing
21,0.006422,0.006831,0.013022,0.023004,0.079033,0.006723,0,standing
22,0.010264,0.0016359999999999,0.014025,0.0187939999999999,0.093953,0.008811,0,standing
23,0.010895,0.002192,0.01434,0.01879,0.100314,0.01628,0,standing
24,0.011887,0.006552,0.005246,0.017718,0.104558,0.021609,0,standing
25,0.009399,0.0085799999999999,0.002592,0.016603,0.09497,0.022681,0,standing
26,0.008986,0.008925,-0.00268,0.020818,0.083237,0.022726,0,standing
27,0.007989,0.0054789999999999,-0.003336,0.02399,0.073651,0.019556,0,standing
28,0.011997,-0.001249,0.002276,0.028262,0.070458,0.0153169999999999,0,standing
29,0.0115319999999999,-0.000425,0.0106489999999999,0.021856,0.065171,0.011006,0,standing
30,0.012606,0.0012439999999999,0.016829,0.012259,0.062026,0.00667,0,standing
31,0.008683,0.001298,0.0190849999999999,0.005839,0.056726,0.005564,0,standing
32,0.0008,0.00149,0.02218,-0.005873,0.065276,0.008675,0,standing
33,-0.001637,0.004175,0.018749,-0.031372,0.0888019999999999,0.008467,0,standing
34,-0.011481,0.011153,0.013558,-0.0515799999999999,0.106965,0.012576,0,standing
35,-0.0084689999999999,0.0157509999999999,0.006743,-0.0515269999999999,0.1165609999999999,0.0104269999999999,0,standing
36,-0.005029,0.015253,0.000857,-0.033391,0.111192,0.00522,0,standing
37,-0.011964,0.0143449999999999,-0.011609,-0.015316,0.093037,0.001096,0,standing
38,-0.009599,0.01075,-0.011598,0.009154,0.075915,-0.000847,0,standing
39,-0.005756,0.009164,-0.0084,0.024076,0.073728,0.000328,0,standing
40,0.000135,0.004147,-0.00678,0.029444,0.081166,0.000356,0,standing
41,0.0089769999999999,0.005063,-0.002366,0.030525,0.088602,0.004627,0,standing
42,0.008375,0.008732,-0.00283,0.031554,0.090687,0.015314,0,standing
43,0.009085,0.014366,0.001795,0.030429,0.083212,0.020656,0,standing
44,0.009528,0.013366,0.00317,0.033558,0.070405,0.023899,0,standing
45,0.007714,0.006806,0.002791,0.033481,0.051239,0.021787,0,standing
46,0.004252,0.008964,-0.0006889999999999,0.030223,0.036345,0.019647,0,standing
47,0.0017989999999999,0.008764,-0.003446,0.029151,0.0321,0.01644,0,standing
48,0.003144,0.010539,-0.00235,0.032357,0.0342149999999999,0.017528,0,standing
49,0.004045,0.01204,0.003162,0.040916,0.041634,0.019715,0,standing
50,0.007415,0.0066989999999999,0.003087,0.043069,0.045887,0.019724,0,standing
51,0.007622,0.011422,0.002939,0.036682,0.043801,0.014341,0,standing
52,0.003804,0.005354,0.004956,0.031314,0.037423,0.01538,0,standing
53,-0.001421,0.001664,0.004392,0.028061,0.031022,0.020707,0,standing
54,-0.006273,0.001852,0.005848,0.022726,0.033162,0.022803,0,standing
55,-0.0082569999999999,0.002611,0.003956,0.016349,0.035328,0.019551,0,standing
56,-0.006701,0.005054,0.004416,0.011067,0.039637,0.012031,0,standing
57,-0.008705,0.005131,0.001289,0.005813,0.04829,0.002296,0,standing
58,-0.012258,0.0036119999999999,-0.002085,-0.00054,0.054721,-0.002029,0,standing
